symbol,year,z_score,distressed,totalCurrentAssets,totalAssets,retainedEarnings,ebitda,depreciationAndAmortization_income_statement,totalLiabilities,marketcap,revenue
BCGE.SW,2020,0.39,0,6577370000.0,27541692000.0,846263000.0,143407000,15285000.0,25825351000.0,1270000000.0,425806000
BCVN.SW,2023,0.47,0,12602000000.0,58870000000.0,3084000000.0,0,76000000.0,55015000000.0,11070000000.0,1149900000
BCVN.SW,2022,1.02,0,14173000000.0,59397000000.0,2942000000.0,518900000,66400000.0,7942000000.0,8240000000.0,1028500000
BCVN.SW,2021,0.95,0,13619000000.0,55952000000.0,2872000000.0,513200000,68000000.0,7315000000.0,6650000000.0,1003600000
BCVN.SW,2020,1.22,0,12984000000.0,53186000000.0,2803000000.0,449500000,68100000.0,6914000000.0,9370000000.0,949800000
BARN.SW,2024,2.47,0,12179909000.0,15274074000.0,4123314000.0,710415000,246088000.0,12432454000.0,7390000000.0,10386283000
BARN.SW,2023,3.68,0,5521755000.0,8523341000.0,4088797000.0,901649000,237946000.0,5626197000.0,9220000000.0,8470525000
BARN.SW,2022,3.93,0,4759297000.0,7929771000.0,3797414000.0,778827000,235899000.0,5025425000.0,10830000000.0,8091855000
BARN.SW,2021,4.31,0,4266078000.0,7352422000.0,3538158000.0,791975000,228506000.0,4667205000.0,13290000000.0,7207595000
BLKB.SW,2023,0.46,0,11849290000.0,34146235000.0,152508000.0,174540000,26445000.0,31297382000.0,570000000.0,458251000
BLKB.SW,2022,0.37,0,6863720000.0,34773444000.0,2518303000.0,157599000,30346000.0,32040243000.0,560000000.0,442341000
BLKB.SW,2021,0.34,0,5488547000.0,32835561999.0,2431284000.0,151311000,22422000.0,30189471000.0,560000000.0,394131000
BLKB.SW,2020,0.23,0,4845317000.0,29769688000.0,145192000.0,1298000,18040000.0,27207728000.0,600000000.0,405993000
BSLN.SW,2023,-4.08,0,152145000.0,173289000.0,-1000887000.0,23185000,1577000.0,183292000.0,500000000.0,157634000
BSLN.SW,2022,-2.98,0,175364000.0,220848000.0,-1011072000.0,26210000,3097000.0,241563000.0,590000000.0,147765000
BSLN.SW,2021,-2.93,0,241066000.0,247267000.0,-1023219000.0,6722999,2454000.0,305874000.0,530000000.0,148122000
BSLN.SW,2020,-3.36,0,223528000.0,229794000.0,-1016388000.0,-2238999,2290000.0,331840000.0,650000000.0,127629000
BSKP.SW,2023,0.29,0,6952314000.0,52676596000.0,3974868000.0,212848000,28096000.0,48295703000.0,380000000.0,646830000
BSKP.SW,2022,0.25,0,9026859000.0,55229471000.0,971025000.0,0,26482000.0,10476157000.0,330000000.0,593868000
BSKP.SW,2021,0.29,0,10507180000.0,53469809000.0,915912000.0,159980000,28676000.0,13528157000.0,340000000.0,585625000
BSKP.SW,2020,0.38,0,14369791000.0,54435465000.0,878994000.0,150327000,29154000.0,10852396000.0,350000000.0,538299000
