Company;ISIN;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
GAM Holding AG;CH0102659627;GAM;10265962;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;IFRS;14.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Geberit AG;CH0030170408;GEBN;3017040;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;16.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
GEM Co. Ltd.;US36265D2045;GEM;119740522;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;07.03.2025;31.12.;China Adult Asia Pacific Certified Public Accountants LLP - CN;No;;TRUE;
Georg Fischer AG;CH1169151003;GF;116915100;CH;CHF;XSWX;Registered Share;0.05;Swiss Reporting Standard;Swiss GAAP FER;16.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Givaudan SA;CH0010645932;GIVN;1064593;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;IFRS;20.03.2025;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Glarner Kantonalbank;CH0189396655;GLKBN;18939665;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Bank law;25.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Goodyear Tire & Rubber Company;US3825501014;GT;935430;US;CHF;XSWX;Registered Share;0.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;No;;FALSE;
Gotion High-Tech Co., Ltd.;US38349T1060;GOTION;120450028;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Suya Jincheng CPA LLP - CN;No;;TRUE;
Graubündner Kantonalbank;CH0001340204;GRKP;134020;CH;CHF;XSWX;Participation Certificate;100.00;Swiss Reporting Standard;Bank law;22.03.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Groupe Minoteries SA;CH0012949464;GMI;1294946;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;20.05.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Gurit Holding AG;CH1173567111;GURN;117356711;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;15.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
Hangzhou GreatStar Industrial Co., Ltd.;US41044C1053;GSI;122668634;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Pan-China Certified Public Accountants LLP - CN;No;;TRUE;
HBM Healthcare Investments AG;CH0012627250;HBMN;1262725;CH;CHF;XSWX;Registered Share;4.60;Standard for Investment Companies;IFRS;23.06.2025;31.03.;Ernst & Young AG - CH[500646];No;;TRUE;
Helvetia Holding AG;CH0466642201;HELN;46664220;CH;CHF;XSWX;Registered Share;0.02;International Reporting Standard;IFRS;25.04.2025;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;Up
HIAG Immobilien Holding AG;CH0239518779;HIAG;23951877;CH;CHF;XSWX;Registered Share;1.00;Standard for Real Estate Companies;Swiss GAAP FER;17.04.2025;31.12.;Ernst & Young AG - CH[500646];Yes;Global Reporting Initiative (GRI);TRUE;
Highlight Event and Entertainment AG;CH0003583256;HLEE;358325;CH;CHF;XSWX;Bearer Share;1.00;International Reporting Standard;IFRS;;31.12.;FORVIS MAZARS SA - CH[500241];No;;TRUE;Out
HOCN AG;CH0024666528;HOCN;2466652;CH;CHF;XSWX;Registered Share;10.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];No;;TRUE;
