,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,distressed
272,2024-12-31,EFGN.SW,CHF,0,2024-12-31,2024-12-31 00:00:00,2024,FY,1498800000,0,1498800000,1.0,0.0,160000000.0,14900000.0,174900000.0,1323900000.0,1498800000,1498800000,1461300000.0,1078000000.0,89300000.0,0,0.0,0,0.0,381400000,381400000,0.25447024290000003,59800000.0,321600000,0.2145716573,1.0,0.9500000000000001,301220000,316806000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
273,2023-12-31,EFGN.SW,CHF,0,2023-12-31,2023-12-30 19:00:00,2023,FY,1430800000,0,1430800000,1.0,0.0,152300000.0,13000000.0,165300000.0,1265500000.0,1430800000,1430800000,1389400000.0,877400000.0,78600000.0,411800000,0.2878110148,411800000,0.2878110148,-78600000,333200000,0.2328767123,30000000.0,303200000,0.2119094213,0.9400000000000001,0.91,303138000,311668000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
274,2022-12-31,EFGN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,1755700000,0,1755700000,1.0,0.0,147900000.0,11400000.0,41900000.0,-436200000.0,436200000,1449200000,678500000.0,48800000.0,82700000.0,0,-0.0492680982,301800000,0.171897249,-365700000,237100000,0.1350458507,33400000.0,202400000,0.11528165400000001,0.6000000000000001,0.5700000000000001,305165000,318081000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
275,2021-12-31,EFGN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,1634900000,0,1634900000,1.0,0.0,139600000.0,8900000.0,35700000.0,-523500000.0,523500000,1286200000,389400000.0,36700000.0,82300000.0,0,0.015474952600000001,192900000,0.11798886780000001,52500000,245400000,0.15010092360000002,31500000.0,205800000,0.1258792587,0.62,0.59,299231000,316296000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
276,2024-12-31,LLY.SW,USD,0,2024-12-31,2024-12-31 00:00:00,2024,FY,45042700000,8418300000,36624400000,0.8131040102,10990600000.0,8132100000.0,0.0,8132100000.0,17501700000.0,36624400000,45042700000,175200000.0,780600000.0,1766600000.0,15227600000,0.3380703199,0,0.0,12680400000,12680400000,0.2815195359,2090400000.0,10590000000,0.2351102398,11.8,11.71,897538000,904059000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
277,2023-12-31,LLY.SW,USD,0,2023-12-31,2023-12-30 19:00:00,2023,FY,34124100000,7082200000,27041900000,0.79245753,13113200000.0,5821200000.0,1120000000.0,6941200000.0,0.0,20054400000,27136600000,173600000.0,485900000.0,1527300000.0,8567800000,0.25107768410000003,6987500000,0.2047673052,-432900000,6554600000,0.1920812564,1314200000.0,5240400000,0.1535688853,5.8,5.8,903517241,903284000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
278,2022-12-31,LLY.SW,USD,0,2022-12-31,2022-12-30 19:00:00,2022,FY,28541400000,6629800000,21911600000,0.7677128662,7190800000.0,6440400000.0,1000000000.0,6440400000.0,-52100000.0,13631200000,20261000000,62800000.0,331600000.0,1522500000.0,10175800000,0.3305198764,7127300000,0.24971795360000001,-938400000,6806400000,0.2384746368,561600000.0,6244800000,0.21879795670000002,6.57,6.57,905043478,950182000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
279,2021-12-31,LLY.SW,USD,0,2021-12-31,2021-12-30 19:00:00,2021,FY,28318400000,7312800000,21005600000,0.7417650715,7025900000.0,6431600000.0,1200000000.0,6431600000.0,112800000.0,13457500000,20770300000,25400000.0,339800000.0,1547600000.0,9820300000,0.3086014747,6357100000,0.2244865529,-1147100000,6155500000,0.2173675066,573800000.0,5581700000,0.1971050624,5.85,5.85,906963000,953653000,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
280,2023-12-31,ELMN.SW,CHF,0,2023-12-31,2023-12-30 19:00:00,2023,FY,167140000,116813000,50327000,0.3011068565,3301000.0,17964000.0,21720000.0,39684000.0,626000.0,43611000,160424000,120000.0,646000.0,3240000.0,10244000,0.061289936600000004,6716000,0.0401818835,-258000,6458000,0.0386382673,1444000.0,5014000,0.0299988034,21.94,21.94,228492,228492,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
281,2022-12-31,ELMN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,154665000,113687000,40978000,0.2649468205,2737000.0,13193000.0,19982000.0,33175000.0,140000.0,36052000,149739000,24000.0,361000.0,4110000.0,8681000,0.056134225600000004,4572000,0.029560663400000003,-338000,4588000,0.0296641128,432000.0,4156000,0.026870979200000002,18.19,18.19,228492,228492,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
