,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,distressed
203,2021-12-31,LISP.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,490500000,269300000.0,-30400000,14800000.0,38400000.0,-71700000.0,-79200000.0,57200000.0,132100000.0,44200000,826800000.0,-240600000.0,-23200000.0,-300000.0,151200000.0,136100000.0,-112900000.0,-12100000.0,133700000.0,-433300000.0,-264100000.0,-103400000.0,-624600000.0,-500000.0,88800000,937200000,848400000,826800000.0,-240600000.0,586200000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
204,2023-12-31,CIE.SW,CHF,0,2023-12-31,2023-12-30 19:00:00,2023,FY,-1127244,0.0,0,0.0,33441.0,3757.0,0.0,0.0,29684.0,766154,-327649.0,0.0,0.0,0.0,0.0,0.0,0.0,314725.0,0.0,0.0,0.0,0.0,314725.0,0.0,-12924,-2748,10176,-327649.0,0.0,-327649.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
205,2022-12-31,CIE.SW,CHF,0,2022-12-31,2022-12-31 00:00:00,2022,FY,-279259,0.0,0,0.0,12792.0,-1391.0,0.0,0.0,14183.0,100986,-165481.0,1.0,0.0,0.0,0.0,0.0,0.0,-142949.0,0.0,0.0,0.0,0.0,142949.0,0.0,-22532,10176,32708,-165481.0,1.0,-165480.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
206,2021-12-31,CIE.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,-58992,0.0,0,0.0,5443.0,-4684.0,0.0,0.0,10127.0,-126784,-180333.0,0.0,0.0,0.0,0.0,0.0,0.0,-348969.0,0.0,0.0,0.0,-132300.0,216669.0,0.0,36336,32708,-3628,-180333.0,0.0,-180333.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
207,2020-12-31,CIE.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,-951831,0.0,0,0.0,7283.0,0.0,0.0,0.0,7283.0,773706,-170842.0,0.0,0.0,0.0,0.0,0.0,0.0,-295773.0,0.0,0.0,0.0,-132300.0,163473.0,0.0,-7369,-3628,3741,-170842.0,0.0,-170842.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
208,2023-12-31,CICN.SW,CHF,0,2023-12-31,2023-12-30 19:00:00,2023,FY,6083000,21767000.0,1110000,0.0,2357000.0,1032999.0,-7198000.0,-2684000.0,11206001.0,7440000,38757000.0,-12359000.0,-21985000.0,0.0,0.0,-144000.0,-34488000.0,-36207000.0,0.0,-340000.0,0.0,-318000.0,-20578000.0,-1331000.0,-17640000,57851000,75491000,38757000.0,-12706000.0,26051000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
209,2022-12-31,CICN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,3820000,20040000.0,-905000,463000.0,-33040999.0,-5876000.0,-31652000.0,116000.0,4371001.0,77521000,-10057000.0,-11431000.0,-19613000.0,0.0,0.0,-193000.0,-31044000.0,-49592000.0,0.0,-45000.0,0.0,-600000.0,48947000.0,-1152000.0,6694000,75491000,68797000,-10057000.0,-11431000.0,-21488000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
210,2021-12-31,CICN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,7482000,10734000.0,-299000,0.0,-10324000.0,-7044000.0,-20896000.0,6281000.0,11335000.0,44768000,9234000.0,-8052000.0,-45005000.0,0.0,0.0,-261000.0,-53057000.0,-73732000.0,0.0,0.0,-2902000.0,-38000.0,70792000.0,-1307000.0,25662000,68797000,43135000,9234000.0,-8052000.0,1182000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
211,2020-12-31,CICN.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,4171999,10312000.0,0,0.0,-1763000.0,3931000.0,-313000.0,-4146000.0,-1235000.0,1055001,13776000.0,-6649000.0,25000.0,0.0,0.0,14000.0,-6624000.0,-7635000.0,0.0,-216000.0,-4339000.0,-4671000.0,3080000.0,-757000.0,9475000,43135000,33660000,13776000.0,-6649000.0,7127000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
212,2023-12-31,CLN.SW,CHF,0,2023-12-31,2023-12-29 19:00:00,2023,FY,168000000,236000000.0,-11000000,5000000.0,-2000000.0,94000000.0,66000000.0,-200000000.0,38000000.0,28000000,424000000.0,-204000000.0,7000000.0,-27000000.0,159000000.0,110000000.0,45000000.0,-112000000.0,0.0,-8000000.0,-138000000.0,-47000000.0,-356000000.0,-19000000.0,94000000,488000000,394000000,421000000.0,-207000000.0,214000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
213,2022-12-31,CLN.SW,CHF,0,2022-12-31,2022-12-31 00:00:00,2022,FY,116000000,276000000.0,14000000,8000000.0,-143000000.0,-40000000.0,-179000000.0,77000000.0,-1000000.0,231000000,502000000.0,-212000000.0,67000000.0,-303000000.0,131000000.0,457000000.0,140000000.0,-602000000.0,0.0,-8000000.0,-132000000.0,-61000000.0,-652000000.0,-11000000.0,-21000000,394000000,415000000,502000000.0,-212000000.0,290000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
214,2021-12-31,CLN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,373000000,267000000.0,18000000,12000000.0,-305000000.0,-191000000.0,-226000000.0,196000000.0,-84000000.0,-2000000,363000000.0,-360000000.0,-89000000.0,-5000000.0,254000000.0,57000000.0,-143000000.0,-499000000.0,0.0,-16000000.0,-230000000.0,-71000000.0,-538000000.0,-4000000.0,-322000000,415000000,737000000,363000000.0,-360000000.0,3000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
