,0,1,2,3,4,todo,comment
fillingDate,31/12/2024,31/12/2023,31/12/2022,31/12/2021,31/12/2024,drop,
acceptedDate,31/12/2024 00:00,30/12/2023 19:00,30/12/2022 19:00,30/12/2021 19:00,31/12/2024 00:00,drop,
calendarYear,2024,2023,2022,2021,2024,check,merge into year
period,FY,FY,FY,FY,FY,drop,same as other period
revenue,24575000000,32681000000,34229000000,35355000000,32850000000,keep,
costOfRevenue,14447000000,18477000000,19232000000,18795000000,20576000000,keep,
grossProfit,10128000000,14204000000,14997000000,16560000000,12274000000,keep,
grossProfitRatio,0.412126145,0.434625624,0.438137252,0.468392024,0.373637747,keep,
researchAndDevelopmentExpenses,1085000000,1842000000,1862000000,1994000000,1469000000,keep,
generalAndAdministrativeExpenses,0,21397000000,8801000000,7197000000,2154000000,keep,
sellingAndMarketingExpenses,0,-2328000000,248000000,0,3554000000,keep,
sellingGeneralAndAdministrativeExpenses,4221000000,21526000000,9049000000,7197000000,5708000000,keep,
otherExpenses,0,-36000000,-147000000,-165000000,26000000,keep,
operatingExpenses,5306000000,23332000000,10911000000,9191000000,7203000000,keep,
costAndExpenses,19753000000,41809000000,30143000000,27986000000,27779000000,keep,
interestIncome,452000000,250000000,67000000,26000000,206000000,keep,
interestExpense,1191000000,941000000,462000000,488000000,99000000,keep,
depreciationAndAmortization_y,1363000000,1987000000,1831000000,1915000000,802000000,check,D&A of income statemnt
ebitda,7373000000,-6759000000,8274000000,9669000000,6134000000,keep,
ebitdaratio,0.300020346,-0.206817417,0.047708084,0.208428794,0.18672755,keep,
operatingIncome,4822000000,-9128000000,-198000000,5454000000,5071000000,keep,
operatingIncomeRatio,0.196215666,-0.279306019,-0.005784569,0.154263895,0.154368341,keep,
totalOtherIncomeExpensesNet,-3000000,-542000000,-147000000,-165000000,162000000,keep,
incomeBeforeTax,4819000000,-9670000000,6392000000,7204000000,5233000000,keep,
incomeBeforeTaxRatio,0.196093591,-0.295890579,0.186742236,0.203761844,0.159299848,keep,
incomeTaxExpense,804000000,-2691000000,612000000,1285000000,1278000000,keep,
netIncome_y,4173000000,-6995000000,5777000000,5921000000,3935000000,check,netIncome of income statement
netIncomeRatio,0.169806714,-0.214038738,0.168775015,0.167472776,0.11978691,check,add context from income statement
eps,7.58,-12.63,10.21,10.23,2.13,keep,
epsdiluted,7.55,-12.63,10.18,10.12,2.13,keep,
weightedAverageShsOut,550600000,553900000,566000000,579000000,1846000000,keep,
weightedAverageShsOutDil,552700000,553900000,567600000,585300000,1851000000,keep,
link,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,drop,
finalLink,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,drop,
distressed,0,0,0,0,0,keep,
